user_id,email,password_hash,role,created_at,last_login,status
62275e2b-8f68-4072-ad98-4856f86b6701,marketing@vinamilk.vn,$2b$12$hash_brand_0,BRAND,2024-05-11 15:46:46,2025-02-13 05:40:50,ACTIVE
d79d2401-e4b4-4858-9df3-1a6f58a9ad05,ads@thmilk.vn,$2b$12$hash_brand_1,BRAND,2023-01-20 10:14:03,2025-10-15 23:45:05,ACTIVE
a2e7413a-6252-47d6-8f38-3bfdf51d0cb5,brand@highlands.vn,$2b$12$hash_brand_2,BRAND,2023-08-02 14:55:05,2025-04-06 02:33:27,ACTIVE
6f0246a6-5550-456f-80ef-a5197f404a96,creative@phuclong.vn,$2b$12$hash_brand_3,BRAND,2023-06-23 08:56:59,2025-02-24 04:35:15,ACTIVE
2b2346ba-3d92-48eb-99a4-a8aea0d1d6b8,media@sunhouse.vn,$2b$12$hash_brand_4,BRAND,2023-03-21 14:38:54,2025-09-20 19:17:46,ACTIVE
ed41bc1e-4407-405a-9053-8f53d7e9b4c3,promo@bitis.vn,$2b$12$hash_brand_5,BRAND,2024-02-28 14:22:08,2025-02-03 18:19:43,ACTIVE
adec7b3a-412a-4bfa-982b-e9a2324d78bb,brand@cellphones.vn,$2b$12$hash_brand_6,BRAND,2024-04-03 15:34:41,2025-06-13 20:35:47,ACTIVE
73b4563b-d293-4887-96ea-d53654fd158e,digital@thegioididong.vn,$2b$12$hash_brand_7,BRAND,2023-01-25 16:28:19,2025-01-12 13:43:48,ACTIVE
fd418d70-4726-4809-8885-499bc6e7ecd1,mkt@fptshop.vn,$2b$12$hash_brand_8,BRAND,2023-03-14 18:36:21,2025-03-26 21:51:13,ACTIVE
81243cd7-0a89-4a0e-b6de-ca99cd983ba9,ads@coolmate.vn,$2b$12$hash_brand_9,BRAND,2023-06-30 17:06:48,2025-07-16 06:15:09,ACTIVE
f0f83fac-d969-4528-b17e-0e3d12983ec4,hello@dentsuone.vn,$2b$12$hash_agency_0,AGENCY,2023-01-21 14:39:58,2025-10-04 23:10:59,ACTIVE
c069ecaf-279a-4ba9-8a70-64598e7b492e,contact@leoburnett.vn,$2b$12$hash_agency_1,AGENCY,2023-06-04 10:36:08,2025-11-08 09:21:43,ACTIVE
d0dcd863-ce8b-4261-95cb-03a557cf3376,info@ogilvyvn.vn,$2b$12$hash_agency_2,AGENCY,2024-02-28 06:26:43,2025-08-10 22:12:29,ACTIVE
4c607316-2193-480e-b42d-ffa57e8739ff,biz@publicisgroupe.vn,$2b$12$hash_agency_3,AGENCY,2023-06-21 05:18:39,2025-08-22 10:55:54,ACTIVE
3b5de7f0-c942-44b1-9654-e38710833852,team@wearesocial.vn,$2b$12$hash_agency_4,AGENCY,2023-08-05 01:51:02,2025-03-03 12:34:22,ACTIVE
e50a7060-6e0f-466b-a31b-fc874566a945,projects@adsvietnam.vn,$2b$12$hash_agency_5,AGENCY,2023-05-05 00:15:55,2025-11-27 03:07:50,ACTIVE
f1812291-efc1-4972-91e2-2588101f5660,booking@creativejuice.vn,$2b$12$hash_agency_6,AGENCY,2023-11-25 06:06:12,2025-07-11 03:21:52,ACTIVE
0091924c-b773-4c2a-a64d-a49f0babc108,ops@redsquarevn.vn,$2b$12$hash_agency_7,AGENCY,2023-08-04 19:53:50,2025-04-30 09:10:26,ACTIVE
d9b6cb85-b36e-49bd-927a-9159ab39df97,duc.tran@gmail.com,$2b$12$hash_dir_0,DIRECTOR,2023-08-15 05:44:21,2025-10-24 12:16:51,ACTIVE
3e805d41-4c84-47ae-9d47-50fb27feb134,hoangnam.dir@gmail.com,$2b$12$hash_dir_1,DIRECTOR,2023-11-17 10:34:37,2025-02-09 16:40:07,ACTIVE
2a38e28a-4060-46c9-bbf3-6c3e6540667e,baole.film@gmail.com,$2b$12$hash_dir_2,DIRECTOR,2023-05-12 00:54:28,2025-05-28 13:10:44,ACTIVE
eed79ceb-f6df-440a-be1f-f6da8bdd1892,tungthanh.dp@gmail.com,$2b$12$hash_dir_3,DIRECTOR,2023-05-15 02:55:26,2025-05-20 09:55:49,ACTIVE
d88f1163-f2fd-4bc4-b1b5-089a5babfee1,yenvo.cinema@gmail.com,$2b$12$hash_dir_4,DIRECTOR,2023-11-23 03:47:57,2025-08-23 11:08:04,ACTIVE
7b6eb24a-dd06-4950-b0bf-d1924081e77f,khoado.prod@gmail.com,$2b$12$hash_dir_5,DIRECTOR,2023-09-22 11:01:34,2025-01-17 20:59:14,ACTIVE
f367c0f5-b410-4aec-b1cf-0fc74a4ab493,chauminh.dir@gmail.com,$2b$12$hash_dir_6,DIRECTOR,2024-02-20 20:18:01,2025-07-28 06:00:29,ACTIVE
0426106b-2aa8-4364-b3de-a44cf15dde9c,lanthi.film@gmail.com,$2b$12$hash_dir_7,DIRECTOR,2023-06-05 22:55:41,2025-05-28 00:11:46,ACTIVE
